Zip Code,FELONY,MISDEMEANOR,VIOLATION,Grand Total,Latitude,Longitude,,,,,
10001,1583,3141,432,5156,40.750634,-73.997176,,,,,
10002,1486,3232,669,5387,40.715777,-73.986207,,,,,
10003,1443,2585,370,4398,40.731829,-73.989181,,,,,
10005,89,189,53,331,40.706004,-74.008785,,,,,
10006,132,456,65,653,40.709579,-74.012952,,,,,
10007,228,552,119,899,40.713858,-74.007771,,,,,
10009,810,1608,346,2764,40.726402,-73.978635,,,,,
10010,692,1061,201,1954,40.739104,-73.982455,,,,,
10011,1359,2292,407,4058,40.742042,-74.000622,,,,,
10012,799,1351,164,2314,40.725581,-73.998078,,,,,
10013,894,1739,293,2926,40.720103,-74.004901,,,,,
10014,882,1279,230,2391,40.734012,-74.006746,,,,,
10016,839,1261,303,2403,40.745221,-73.978294,,,,,
10017,426,678,165,1269,40.752359,-73.972489,,,,,
10018,833,1395,200,2428,40.755332,-73.993139,,,,,
10019,1556,2597,604,4757,40.765823,-73.987179,,,,,
10020,200,180,6,386,40.758236,-73.978833,,,,,
10021,341,491,107,939,40.769225,-73.958741,,,,,
10022,910,1249,287,2446,40.75863,-73.967949,,,,,
10023,744,1701,299,2744,40.775916,-73.982602,,,,,
10024,583,1145,292,2020,40.798452,-73.974414,,,,,
10025,1290,2464,650,4404,40.798601,-73.966622,,,,,
10026,801,1909,411,3121,40.802381,-73.952681,,,,,
10027,1582,3377,784,5743,40.811407,-73.95306,,,,,
10028,397,440,88,925,40.776442,-73.953513,,,,,
10029,1529,3849,914,6292,40.791763,-73.94397,,,,,
10030,578,1200,350,2128,40.818267,-73.942856,,,,,
10031,903,1872,533,3308,40.825288,-73.950045,,,,,
10032,845,1887,374,3106,40.838792,-73.94283,,,,,
10033,770,1536,346,2652,40.850482,-73.934051,,,,,
10034,802,1383,272,2457,40.867076,-73.924312,,,,,
10035,1398,3116,558,5072,40.795458,-73.92957,,,,,
10036,1587,2780,423,4790,40.759255,-73.989828,,,,,
10037,404,823,184,1411,40.81296,-73.937376,,,,,
10038,282,692,183,1157,40.709308,-74.002564,,,,,
10039,490,1276,308,2074,40.830869,-73.936216,,,,,
10040,537,725,181,1443,40.858314,-73.930494,,,,,
10069,24,26,8,58,40.77596,-73.990341,,,,,
10103,9,14,2,25,40.76078,-73.97767,,,,,
10110,30,45,9,84,40.754499,-73.982256,,,,,
10111,7,12,5,24,40.759114,-73.977596,,,,,
10112,25,27,2,54,40.759167,-73.979668,,,,,
10115,4,,,4,40.810852,-73.963744,,,,,
10119,65,105,20,190,40.75031,-73.992979,,,,,
10128,644,1020,220,1884,40.781428,-73.95001,,,,,
10152,6,10,2,18,40.758404,-73.972031,,,,,
10153,9,9,,18,40.763622,-73.972439,,,,,
10154,16,101,8,125,40.757779,-73.972487,,,,,
10162,3,,,3,40.769308,-73.949924,,,,,
10165,6,5,1,12,40.752131,-73.978722,,,,,
10167,,2,2,4,40.754648,-73.974771,,,,,
10169,15,13,5,33,40.754391,-73.976098,,,,,
10170,63,119,32,214,40.752625,-73.975877,,,,,
10171,6,5,4,15,40.755899,-73.973858,,,,,
10172,6,6,1,13,40.755273,-73.974315,,,,,
10173,12,10,2,24,40.754131,-73.979364,,,,,
10174,4,21,2,27,40.751441,-73.975003,,,,,
10177,2,3,,5,40.755139,-73.975934,,,,,
10199,18,33,4,55,40.751383,-73.997152,,,,,
10271,,2,,2,40.708236,-74.010541,,,,,
10278,1,,,1,40.715138,-74.003717,,,,,
10279,7,5,3,15,40.712626,-74.008669,,,,,
10280,94,83,33,210,40.709073,-74.016423,,,,,
10282,48,86,25,159,40.716768,-74.015593,,,,,
10468,1,,,1,40.86894,-73.899995,,,,,
11212,,1,,1,40.662932,-73.913019,,,,,
11370,67,57,,124,40.765393,-73.893191,,,,,